algoritmo,n,patron,repeticiones,tiempo_ns,comparaciones,intercambios,semilla
Cocktail Sort,1000,aleatorio,1,2001000,170889,127223,0
Cocktail Sort,1000,aleatorio,2,2266000,170889,127223,0
Cocktail Sort,1000,aleatorio,3,2003000,170889,127223,0
Cocktail Sort,1000,aleatorio,4,2001000,170889,127223,0
Cocktail Sort,1000,aleatorio,5,1999000,170889,127223,0
Cocktail Sort,1000,aleatorio,6,2001000,170889,127223,0
Cocktail Sort,1000,aleatorio,7,2000000,170889,127223,0
Cocktail Sort,1000,aleatorio,8,2000000,170889,127223,0
Cocktail Sort,1000,aleatorio,9,2705000,170889,127223,0
Cocktail Sort,1000,aleatorio,10,1999000,170889,127223,0
Cocktail Sort,1000,aleatorio,Resumen_de_tiempo:,,Media:,2097500,Mediana:,2001000,Desviacion:,217424,minimo:,1999000,maximo:,2705000
Cocktail Sort,10000,aleatorio,1,230708000,16878030,12616711,0
Cocktail Sort,10000,aleatorio,2,198057000,16878030,12616711,0
Cocktail Sort,10000,aleatorio,3,219106000,16878030,12616711,0
Cocktail Sort,10000,aleatorio,4,211004000,16878030,12616711,0
Cocktail Sort,10000,aleatorio,5,221606000,16878030,12616711,0
Cocktail Sort,10000,aleatorio,6,249678000,16878030,12616711,0
Cocktail Sort,10000,aleatorio,7,229687000,16878030,12616711,0
Cocktail Sort,10000,aleatorio,8,227502000,16878030,12616711,0
Cocktail Sort,10000,aleatorio,9,222075000,16878030,12616711,0
Cocktail Sort,10000,aleatorio,10,233746000,16878030,12616711,0
Cocktail Sort,10000,aleatorio,Resumen_de_tiempo:,,Media:,224316900,Mediana:,224788500,Desviacion:,13108267,minimo:,198057000,maximo:,249678000
Cocktail Sort,
