algoritmo,n,patron,repeticiones,tiempo_ns,comparaciones,intercambios,semilla
Merge Sort,1000,aleatorio,1,0,0,0,0
Merge Sort,1000,aleatorio,2,0,0,0,0
Merge Sort,1000,aleatorio,3,0,0,0,0
Merge Sort,1000,aleatorio,4,0,0,0,0
Merge Sort,1000,aleatorio,5,0,0,0,0
Merge Sort,1000,aleatorio,6,0,0,0,0
Merge Sort,1000,aleatorio,7,4802000,0,0,0
Merge Sort,1000,aleatorio,8,0,0,0,0
Merge Sort,1000,aleatorio,9,0,0,0,0
Merge Sort,1000,aleatorio,10,7034000,0,0,0
Merge Sort,1000,aleatorio,Resumen_de_tiempo:,,Media:,1183600,Mediana:,0,Desviacion:,2419241,minimo:,0,maximo:,7034000
Merge Sort,10000,aleatorio,1,14257000,0,0,0
Merge Sort,10000,aleatorio,2,0,0,0,0
Merge Sort,10000,aleatorio,3,15957000,0,0,0
Merge Sort,10000,aleatorio,4,0,0,0,0
Merge Sort,10000,aleatorio,5,17899000,0,0,0
Merge Sort,10000,aleatorio,6,0,0,0,0
Merge Sort,10000,aleatorio,7,16858000,0,0,0
Merge Sort,10000,aleatorio,8,14780000,0,0,0
Merge Sort,10000,aleatorio,9,0,0,0,0
Merge Sort,10000,aleatorio,10,0,0,0,0
Merge Sort,10000,aleatorio,Resumen_de_tiempo:,,Media:,7975100,Mediana:,7128500,Desviacion:,8030445,minimo:,0,maximo:,17899000
Merge Sort,100000,aleatorio,1,67656000,0,0,0
Merge Sort,100000,aleatorio,2,83719000,0,0,0
Merge Sort,100000,aleatorio,3,50504000,0,0,0
Merge Sort,100000,aleatorio,4,64936000,0,0,0
Merge Sort,100000,aleatorio,5,51210000,0,0,0
Merge Sort,100000,aleatorio,6,65797000,0,0,0
Merge Sort,100000,aleatorio,7,67390000,0,0,0
Merge Sort,100000,aleatorio,8,81815000,0,0,0
Merge Sort,100000,aleatorio,9,49890000,0,0,0
Merge Sort,100000,aleatorio,10,33674000,0,0,0
Merge Sort,100000,aleatorio,Resumen_de_tiempo:,,Media:,61659100,Mediana:,65366500,Desviacion:,14645352,minimo:,33674000,maximo:,83719000
Merge Sort,1000,ordenado creciente,1,0,0,0,0
Merge Sort,1000,ordenado creciente,2,0,0,0,0
Merge Sort,1000,ordenado creciente,3,0,0,0,0
Merge Sort,1000,ordenado creciente,4,0,0,0,0
