algoritmo,n,patron,repeticiones,tiempo_ns,comparaciones,intercambios,semilla
Merge Sort,1000,aleatorio,1,321700,8720,19952,0
Merge Sort,1000,aleatorio,2,291900,8720,19952,0
Merge Sort,1000,aleatorio,3,275800,8720,19952,0
Merge Sort,1000,aleatorio,4,274100,8720,19952,0
Merge Sort,1000,aleatorio,5,273100,8720,19952,0
Merge Sort,1000,aleatorio,6,272900,8720,19952,0
Merge Sort,1000,aleatorio,7,365900,8720,19952,0
Merge Sort,1000,aleatorio,8,341300,8720,19952,0
Merge Sort,1000,aleatorio,9,334700,8720,19952,0
Merge Sort,1000,aleatorio,10,347300,8720,19952,0
Merge Sort,1000,aleatorio,Resumen_de_tiempo:,,Media:,309870,Mediana:,306800,Desviacion:,34303,minimo:,272900,maximo:,365900
Merge Sort,10000,aleatorio,1,4220400,120397,267232,0
Merge Sort,10000,aleatorio,2,3659300,120397,267232,0
Merge Sort,10000,aleatorio,3,3792100,120397,267232,0
Merge Sort,10000,aleatorio,4,7378500,120397,267232,0
Merge Sort,10000,aleatorio,5,3875700,120397,267232,0
Merge Sort,10000,aleatorio,6,3412300,120397,267232,0
Merge Sort,10000,aleatorio,7,7152800,120397,267232,0
Merge Sort,10000,aleatorio,8,3407800,120397,267232,0
Merge Sort,10000,aleatorio,9,3330100,120397,267232,0
Merge Sort,10000,aleatorio,10,5908900,120397,267232,0
Merge Sort,10000,aleatorio,Resumen_de_tiempo:,,Media:,4613790,Mediana:,3833900,Desviacion:,1503300,minimo:,3330100,maximo:,7378500
Merge Sort,100000,aleatorio,1,50902500,1535725,3337856,0
Merge Sort,100000,aleatorio,2,43720200,1535725,3337856,0
Merge Sort,100000,aleatorio,3,42643700,1535725,3337856,0
Merge Sort,100000,aleatorio,4,44829900,1535725,3337856,0
Merge Sort,100000,aleatorio,5,40766300,1535725,3337856,0
Merge Sort,100000,aleatorio,6,40314500,1535725,3337856,0
Merge Sort,100000,aleatorio,7,44291800,1535725,3337856,0
Merge Sort,100000,aleatorio,8,41691600,1535725,3337856,0
Merge Sort,100000,aleatorio,9,44180400,1535725,3337856,0
Merge Sort,100000,aleatorio,10,44652000,1535725,3337856,0
Merge Sort,100000,aleatorio,Resumen_de_tiempo:,,Media:,43799290,Mediana:,43950300,Desviacion:,2824172,minimo:,40314500,maximo:,50902500
Merge Sort,1000,ordenado creciente,1,315900,5044,19952,0
Merge Sort,1000,ordenado creciente,2,275400,5044,19952,0
Merge Sort,1000,ordenado creciente,3,308400,5044,19952,0
Merge Sort,1000,ordenado creciente,4,231800,5044,19952,0
Merge Sort,1000,ordenado creciente,5,291000,5044,19952,0
Merge Sort,1000,ordenado creciente,6,293200,5044,19952,0
Merge Sort,1000,ordenado creciente,7,226900,5044,19952,0
Merge Sort,1000,ordenado creciente,8,230000,5044,19952,0
Merge Sort,1000,ordenado creciente,9,224100,5044,19952,0
Merge Sort,1000,ordenado creciente,10,223300,5044,19952,0
Merge Sort,1000,ordenado creciente,Resumen_de_tiempo:,,Media:,262000,Mediana:,253600,Desviacion:,36269,minimo:,223300,maximo:,315900
